,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
55,"FC = 0.98, SFT = 0.1",2016-06-18 08:00:00,2016-06-19 04:00:00,28613.07643,21,1362.527449,0.98,0.1,storm_56,0.448,0,0,0,0,0
56,"FC = 0.98, SFT = 0.1",2016-06-19 14:00:00,2016-06-23 10:00:00,584162.678,93,6281.319119,0.98,0.1,storm_57,3.976,1,0,1,0,1
57,"FC = 0.98, SFT = 0.1",2016-06-24 13:00:00,2016-06-26 03:00:00,30978.81141,39,794.3284976,0.98,0.1,storm_58,0.65,1,0,0,0,0
58,"FC = 0.98, SFT = 0.1",2016-06-27 12:00:00,2016-06-27 23:00:00,6986.580262,12,582.2150219,0.98,0.1,storm_59,0.449,0,0,0,0,0
59,"FC = 0.98, SFT = 0.1",2016-07-05 07:00:00,2016-07-06 23:00:00,51051.30955,41,1245.153891,0.98,0.1,storm_60,0.663,1,0,0,0,0
60,"FC = 0.98, SFT = 0.1",2016-07-08 12:00:00,2016-07-10 08:00:00,128612.3632,45,2858.052515,0.98,0.1,storm_61,1.245,1,0,0,0,1
61,"FC = 0.98, SFT = 0.1",2016-07-11 13:00:00,2016-07-13 01:00:00,56493.41261,37,1526.848989,0.98,0.1,storm_62,0.814,1,0,0,0,0
62,"FC = 0.98, SFT = 0.1",2016-07-13 06:00:00,2016-07-14 10:00:00,12871.27469,29,443.8370583,0.98,0.1,storm_63,0.668,1,0,0,0,0
63,"FC = 0.98, SFT = 0.1",2016-07-20 05:00:00,2016-07-26 09:00:00,872375.724,149,5854.870631,0.98,0.1,storm_64,6.619,1,0,1,0,1
64,"FC = 0.98, SFT = 0.1",2016-07-27 09:00:00,2016-07-28 02:00:00,8373.464006,18,465.1924448,0.98,0.1,storm_65,0.608,1,0,0,0,0
65,"FC = 0.98, SFT = 0.1",2016-08-02 15:00:00,2016-08-08 22:00:00,282501.261,152,1858.560928,0.98,0.1,storm_66,1.551,1,0,0,0,1
66,"FC = 0.98, SFT = 0.1",2016-08-20 01:00:00,2016-08-21 01:00:00,15277.60378,25,611.1041512,0.98,0.1,storm_67,0.428,0,0,0,0,0
67,"FC = 0.98, SFT = 0.1",2016-08-22 20:00:00,2016-08-23 21:00:00,14785.5597,26,568.6753731,0.98,0.1,storm_68,0.318,0,0,0,0,0
68,"FC = 0.98, SFT = 0.1",2016-08-24 15:00:00,2016-08-26 21:00:00,113574.1336,55,2064.984248,0.98,0.1,storm_69,0.984,1,0,0,0,0
69,"FC = 0.98, SFT = 0.1",2016-09-02 03:00:00,2016-09-06 02:00:00,1738713.369,96,18111.5976,0.98,0.1,storm_70,15.209,1,1,1,0,1
70,"FC = 0.98, SFT = 0.1",2016-09-10 03:00:00,2016-09-11 02:00:00,26903.07044,24,1120.961269,0.98,0.1,storm_71,0.698,1,0,0,0,0
71,"FC = 0.98, SFT = 0.1",2016-09-18 14:00:00,2016-09-20 09:00:00,132968.4587,44,3022.010424,0.98,0.1,storm_72,1.097,1,0,0,0,1
72,"FC = 0.98, SFT = 0.1",2016-09-21 14:00:00,2016-09-22 22:00:00,36537.77168,33,1107.205202,0.98,0.1,storm_73,0.631,1,0,0,0,0
73,"FC = 0.98, SFT = 0.1",2016-09-29 12:00:00,2016-09-30 08:00:00,19888.30638,21,947.0622086,0.98,0.1,storm_74,0.477,0,0,0,0,0
74,"FC = 0.98, SFT = 0.1",2016-10-05 00:00:00,2016-10-05 13:00:00,13199.1829,14,942.7987785,0.98,0.1,storm_75,0.292,0,0,0,0,0
75,"FC = 0.98, SFT = 0.1",2016-10-17 11:00:00,2016-10-18 02:00:00,14338.00894,16,896.125559,0.98,0.1,storm_76,0.313,0,0,0,0,0
76,"FC = 0.98, SFT = 0.1",2016-10-21 23:00:00,2016-10-23 03:00:00,35772.71058,29,1233.541744,0.98,0.1,storm_77,0.542,1,0,0,0,0
