id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount,base_flow,storm_flow,total_flow,norm_tot_q,norm_c,norm_ts,Time Period,Est_Tbdt_power_precal,Est_Tbdt_mix_Precal,Est_Tbdt_mix_Postcal,Est_Tbdt_mix_Fullcal
65742,2023-11-25 17:00:00,0.0,125.647,179.5,1.454,123,124,0.44217104533193,1.01182895466807,1.454,0.1730342939105489,0.0634183506875158,0.4146341463414634,,,,,
65743,2023-11-25 18:00:00,3.5,121.552,119.6,1.407,123,124,0.463950709252014,0.943049290747986,1.407,0.1669057243447646,0.0416863186155353,0.4390243902439024,,,,,
65744,2023-11-25 19:00:00,0.0,216.342,1676.6,2.504,123,124,0.487619797738494,2.01638020226151,2.504,0.3099491459121136,0.6065740304030764,0.4634146341463415,,,,,
65745,2023-11-25 20:00:00,0.0,673.557,658.1,7.796,123,124,0.516721076464637,7.27927892353536,7.796,1.0,0.2370569241374306,0.4878048780487805,,,,,
65746,2023-11-25 21:00:00,0.0,560.098,327.6,6.483,123,124,0.548366885605189,5.93463311439481,6.483,0.8287912374494718,0.1171498022711606,0.5121951219512195,,,,,
65747,2023-11-25 22:00:00,0.0,366.644,291.6,4.244,123,124,0.576462770646779,3.66753722935322,4.244,0.5368366149432781,0.1040888147153793,0.5365853658536586,,,,,
65748,2023-11-25 23:00:00,0.0,275.06,213.6,3.184,123,124,0.600215605156026,2.58378439484397,3.184,0.3986178119702699,0.0757900083445198,0.5609756097560976,,,,,
65749,2023-11-26 00:00:00,0.0,214.722,181.3,2.485,123,124,0.619211740423056,1.86578825957694,2.485,0.307471639066371,0.0640714000653049,0.5853658536585366,,,,,
65750,2023-11-26 01:00:00,0.0,170.76,159.0,1.976,123,124,0.633280092931843,1.34271990706816,1.976,0.2411005346198982,0.0559808438849181,0.6097560975609756,,,,,
65751,2023-11-26 02:00:00,0.0,156.024,114.2,1.806,123,124,0.64250549948027,1.16349450051973,1.806,0.2189333681053592,0.0397271704821681,0.6341463414634146,,,,,
65752,2023-11-26 03:00:00,0.0,140.69,80.2,1.628,123,124,0.647322143888315,0.980677856111685,1.628,0.1957230408136653,0.0273917933461524,0.6585365853658537,,,,,
65753,2023-11-26 04:00:00,0.0,111.394,66.0,1.289,123,124,0.643110557447927,0.645889442552073,1.289,0.1515191028817316,0.0222399593658164,0.6829268292682927,,,,,
65754,2023-11-26 05:00:00,0.0,106.999,55.8,1.238,123,124,0.603511231327582,0.634488768672418,1.238,0.1448689529273699,0.0185393462250117,0.7073170731707317,,,,,
65755,2023-11-26 06:00:00,0.0,105.202,50.5,1.218,123,124,0.563650246093172,0.654349753906827,1.218,0.1422610509844829,0.0166164786126328,0.7317073170731707,,,,,
65756,2023-11-26 07:00:00,0.0,84.908,42.9,0.983,123,124,0.529383240524652,0.453616759475348,0.983,0.1116182031555613,0.0138591590175234,0.7560975609756098,,,,,
65757,2023-11-26 08:00:00,0.0,81.978,37.6,0.949,123,124,0.501514085664523,0.447485914335477,0.949,0.1071847698526535,0.0119362914051445,0.7804878048780488,,,,,
65758,2023-11-26 09:00:00,0.0,69.67,33.9,0.806,123,124,0.477514984749492,0.328485015250508,0.806,0.0885382709610118,0.0105939121285781,0.8048780487804879,,,,,
65759,2023-11-26 10:00:00,0.0,73.826,31.7,0.854,123,124,0.456501898669673,0.397498101330327,0.854,0.0947972356239405,0.0097957406668359,0.8292682926829268,,,,,
65760,2023-11-26 11:00:00,0.0,67.607,27.1,0.782,123,124,0.434913509223056,0.347086490776944,0.782,0.0854087886295475,0.008126836701375,0.8536585365853658,,,,,
65761,2023-11-26 12:00:00,0.0,57.085,24.1,0.661,123,124,0.416620754492613,0.244379245507387,0.661,0.0696309818750815,0.0070384210717265,0.8780487804878049,,,,,
65762,2023-11-26 13:00:00,0.0,53.178,21.6,0.615,123,124,0.402490164353843,0.212509835646157,0.615,0.0636328074064415,0.0061314080470195,0.902439024390244,,,,,
65763,2023-11-26 14:00:00,0.0,58.175,20.7,0.673,123,124,0.388870174844514,0.284129825155486,0.673,0.0711957230408136,0.005804883358125,0.926829268292683,,,,,
65764,2023-11-26 15:00:00,0.5,52.091,18.0,0.603,123,124,0.374763803026079,0.228236196973921,0.603,0.0620680662407093,0.0048253092914414,0.951219512195122,,,,,
65765,2023-11-26 16:00:00,0.0,45.323,16.9,0.525,123,124,0.362684896836254,0.162315103163746,0.525,0.0518972486634502,0.0044262235605703,0.975609756097561,,,,,
65766,2023-11-26 17:00:00,0.0,50.567,16.6,0.585,123,124,0.35226691152793,0.23273308847207,0.585,0.059720954492111,0.0043173819976054,1.0,,,,,
65826,2023-11-29 05:00:00,0.5,23.137,340.1,0.268,124,125,0.17779164781272,0.09020835218728,0.268,0.0,1.0,0.0,,,,,
65827,2023-11-29 06:00:00,0.0,26.143,308.3,0.303,124,125,0.178445615193491,0.124554384806509,0.303,0.0227272727272727,0.8966525836854078,0.0416666666666666,,,,,
65828,2023-11-29 07:00:00,0.0,156.179,130.5,1.808,124,125,0.180794856556443,1.62720514344356,1.808,1.0,0.3188170295742605,0.0833333333333333,,,,,
65829,2023-11-29 08:00:00,0.0,144.793,201.7,1.676,124,125,0.187255284741144,1.48874471525886,1.676,0.9142857142857144,0.5502112447188819,0.125,,,,,
65830,2023-11-29 09:00:00,0.0,100.713,187.6,1.166,124,125,0.197983000060078,0.968016999939922,1.166,0.583116883116883,0.504387390315242,0.1666666666666666,,,,,
65831,2023-11-29 10:00:00,0.0,86.044,85.8,0.996,124,125,0.211252870515672,0.784747129484328,0.996,0.4727272727272727,0.173545661358466,0.2083333333333333,,,,,
65832,2023-11-29 11:00:00,0.0,67.249,105.3,0.778,124,125,0.225760017716379,0.552239982283621,0.778,0.3311688311688311,0.2369190770230744,0.25,,,,,
65833,2023-11-29 12:00:00,0.0,52.528,55.4,0.608,124,125,0.240609796919144,0.367390203080856,0.608,0.2207792207792207,0.0747481312967175,0.2916666666666667,,,,,
65834,2023-11-29 13:00:00,6.5,51.37,43.0,0.595,124,125,0.254998556725219,0.340001443274781,0.595,0.2123376623376623,0.0344491387715307,0.3333333333333333,,,,,
65835,2023-11-29 14:00:00,1.5,60.192,37.6,0.697,124,125,0.26852453521031,0.42847546478969,0.697,0.2785714285714285,0.0168995775105622,0.375,,,,,
65836,2023-11-29 15:00:00,2.0,45.771,32.4,0.53,124,125,0.281178455099861,0.248821544900139,0.53,0.1701298701298701,0.0,0.4166666666666667,,,,,
65837,2023-11-29 16:00:00,0.0,41.264,53.3,0.478,124,125,0.293011019523607,0.184988980476393,0.478,0.1363636363636363,0.067923301917452,0.4583333333333333,,,,,
65838,2023-11-29 17:00:00,0.0,75.974,38.6,0.879,124,125,0.304471258352191,0.574528741647809,0.879,0.3967532467532467,0.0201494962625934,0.5,,,,,
65839,2023-11-29 18:00:00,4.0,80.544,49.4,0.932,124,125,0.316352628851059,0.615647371148941,0.932,0.4311688311688312,0.0552486187845303,0.5416666666666666,,,,,
65840,2023-11-29 19:00:00,0.0,67.55,62.4,0.782,124,125,0.328733735924695,0.453266264075305,0.782,0.3337662337662337,0.0974975625609359,0.5833333333333334,,,,,
65841,2023-11-29 20:00:00,0.0,63.654,77.1,0.737,124,125,0.340814248114904,0.396185751885096,0.737,0.3045454545454545,0.1452713682157945,0.625,,,,,
65842,2023-11-29 21:00:00,1.0,69.026,91.0,0.799,124,125,0.352098036262398,0.446901963737602,0.799,0.3448051948051948,0.1904452388690282,0.6666666666666666,,,,,
65843,2023-11-29 22:00:00,0.0,139.99,229.9,1.62,124,125,0.362553082017105,1.25744691798289,1.62,0.877922077922078,0.6418589535261617,0.7083333333333334,,,,,
65844,2023-11-29 23:00:00,0.0,92.106,197.8,1.066,124,125,0.372089824114668,0.693910175885333,1.066,0.5181818181818182,0.5375365615859603,0.75,,,,,
65845,2023-11-30 00:00:00,0.0,66.951,86.4,0.775,124,125,0.380606530707776,0.394393469292224,0.775,0.3292207792207792,0.1754956126096847,0.7916666666666666,,,,,
65846,2023-11-30 01:00:00,0.0,76.193,70.4,0.882,124,125,0.388052017273233,0.493947982726767,0.882,0.3987012987012986,0.1234969125771855,0.8333333333333334,,,,,
65847,2023-11-30 02:00:00,0.0,86.608,84.2,1.002,124,125,0.394404346121496,0.607595653878504,1.002,0.4766233766233766,0.1683457913552161,0.875,,,,,
65848,2023-11-30 03:00:00,0.0,65.497,122.2,0.758,124,125,0.399636226523664,0.358363773476336,0.758,0.3181818181818182,0.2918427039324017,0.9166666666666666,,,,,
65849,2023-11-30 04:00:00,0.0,65.922,104.2,0.763,124,125,0.403726641884599,0.359273358115401,0.763,0.3214285714285714,0.2333441663958401,0.9583333333333334,,,,,
65850,2023-11-30 05:00:00,0.0,55.156,76.7,0.638,124,125,0.406735767392614,0.231264232607386,0.638,0.2402597402597402,0.1439714007149821,1.0,,,,,
66324,2023-12-19 23:00:00,2.5,9.466,3.6,0.11,125,126,0.0806954599903506,0.0293045400096494,0.11,0.0,0.0,0.0,,,,,
66325,2023-12-20 00:00:00,48.5,22.873,43.9,0.265,125,126,0.0811622041849692,0.183837795815031,0.265,0.0119221598338589,0.0436809017992629,0.0153846153846153,,,,,
66326,2023-12-20 01:00:00,20.5,50.732,99.8,0.587,125,126,0.0823867354202684,0.504613264579732,0.587,0.0366894854241981,0.1042705397788857,0.0307692307692307,,,,,
66327,2023-12-20 02:00:00,2.5,504.887,926.2,5.844,125,126,0.0897268389722657,5.75427316102773,5.844,0.4410429966925621,1.0,0.0461538461538461,,,,,
66328,2023-12-20 03:00:00,0.0,934.665,474.3,10.818,125,126,0.11667323785051,10.7013267621495,10.818,0.8236289516191062,0.5101885974420117,0.0615384615384615,,,,,
66329,2023-12-20 04:00:00,1.5,616.177,196.7,7.132,125,126,0.171213852243066,6.96078614775693,7.132,0.5401122990539188,0.2092998048991979,0.0769230769230769,,,,,
66330,2023-12-20 05:00:00,11.5,385.406,159.5,4.461,125,126,0.245378269252253,4.21562173074775,4.461,0.334666564110453,0.168978972469109,0.0923076923076923,,,,,
66331,2023-12-20 06:00:00,3.0,387.941,170.1,4.49,125,126,0.328516186352262,4.16148381364774,4.49,0.3368971617567879,0.1804682419249945,0.1076923076923077,,,,,
66332,2023-12-20 07:00:00,4.0,532.572,383.2,6.164,125,126,0.418438691630962,5.74556130836904,6.164,0.4656564879624643,0.4114459137220897,0.123076923076923,,,,,
66333,2023-12-20 08:00:00,7.0,541.423,185.9,6.266,125,126,0.51716343800535,5.74883656199465,6.266,0.4735020383047457,0.1975937567743334,0.1384615384615384,,,,,
66334,2023-12-20 09:00:00,7.5,425.648,125.2,4.926,125,126,0.62379463552494,4.30220536447506,4.926,0.3704330436120298,0.1318014307392152,0.1538461538461538,,,,,
66335,2023-12-20 10:00:00,6.5,467.989,153.6,5.417,125,126,0.73514980096536,4.68185019903464,5.417,0.4081993692792861,0.1625840017342293,0.1692307692307692,,,,,
66336,2023-12-20 11:00:00,5.0,701.035,216.3,8.114,125,126,0.85238328586504,7.26161671413496,8.114,0.6156449503884317,0.2305441144591372,0.1846153846153846,,,,,
