id,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
47,"FC = 0.98, SFT = 0.1",4/02/2016 4:00,5/02/2016 10:00,82726.51233,31,2668.597172,0.98,0.1,storm_48,5.251,1,0,1,0,1
48,"FC = 0.98, SFT = 0.1",11/02/2016 16:00,12/02/2016 9:00,33047.86032,18,1835.99224,0.98,0.1,storm_49,1.765,1,0,0,0,1
49,"FC = 0.98, SFT = 0.1",20/02/2016 16:00,21/02/2016 8:00,35553.34956,17,2091.373503,0.98,0.1,storm_50,3.065,1,0,1,0,1
50,"FC = 0.98, SFT = 0.1",11/03/2016 16:00,12/03/2016 10:00,25964.13901,19,1366.533632,0.98,0.1,storm_51,1.788,1,0,0,0,1
51,"FC = 0.98, SFT = 0.1",18/03/2016 15:00,19/03/2016 4:00,12813.02675,14,915.2161965,0.98,0.1,storm_52,0.721,1,0,0,0,0
52,"FC = 0.98, SFT = 0.1",9/05/2016 16:00,10/05/2016 6:00,10358.85572,15,690.5903814,0.98,0.1,storm_53,0.468,0,0,0,0,0
53,"FC = 0.98, SFT = 0.1",4/06/2016 11:00,7/06/2016 17:00,666754.2972,79,8439.927812,0.98,0.1,storm_54,10.688,1,1,1,0,1
54,"FC = 0.98, SFT = 0.1",9/06/2016 8:00,10/06/2016 14:00,41896.4855,31,1351.499532,0.98,0.1,storm_55,1.844,1,0,0,0,1
55,"FC = 0.98, SFT = 0.1",18/06/2016 8:00,19/06/2016 4:00,28613.07643,21,1362.527449,0.98,0.1,storm_56,1.201,1,0,0,0,1
56,"FC = 0.98, SFT = 0.1",19/06/2016 14:00,23/06/2016 10:00,584162.678,93,6281.319119,0.98,0.1,storm_57,12.706,1,1,1,0,1
57,"FC = 0.98, SFT = 0.1",24/06/2016 13:00,26/06/2016 3:00,30978.81141,39,794.3284976,0.98,0.1,storm_58,0.969,1,0,0,0,0
58,"FC = 0.98, SFT = 0.1",27/06/2016 12:00,27/06/2016 23:00,6986.580262,12,582.2150219,0.98,0.1,storm_59,0.565,1,0,0,0,0
59,"FC = 0.98, SFT = 0.1",5/07/2016 7:00,6/07/2016 23:00,51051.30955,41,1245.153891,0.98,0.1,storm_60,1.836,1,0,0,0,1
60,"FC = 0.98, SFT = 0.1",8/07/2016 12:00,10/07/2016 8:00,128612.3632,45,2858.052515,0.98,0.1,storm_61,4.504,1,0,1,0,1
61,"FC = 0.98, SFT = 0.1",11/07/2016 13:00,13/07/2016 1:00,56493.41261,37,1526.848989,0.98,0.1,storm_62,1.873,1,0,0,0,1
62,"FC = 0.98, SFT = 0.1",13/07/2016 6:00,14/07/2016 10:00,12871.27469,29,443.8370583,0.98,0.1,storm_63,0.569,1,0,0,0,0
63,"FC = 0.98, SFT = 0.1",20/07/2016 5:00,26/07/2016 9:00,872375.724,149,5854.870631,0.98,0.1,storm_64,13.241,1,1,1,0,1
64,"FC = 0.98, SFT = 0.1",27/07/2016 9:00,28/07/2016 2:00,8373.464006,18,465.1924448,0.98,0.1,storm_65,0.652,1,0,0,0,0
65,"FC = 0.98, SFT = 0.1",2/08/2016 15:00,8/08/2016 22:00,282501.261,152,1858.560928,0.98,0.1,storm_66,4.151,1,0,1,0,1
66,"FC = 0.98, SFT = 0.1",20/08/2016 1:00,21/08/2016 1:00,15277.60378,25,611.1041512,0.98,0.1,storm_67,0.66,1,0,0,0,0
67,"FC = 0.98, SFT = 0.1",22/08/2016 20:00,23/08/2016 21:00,14785.5597,26,568.6753731,0.98,0.1,storm_68,0.575,1,0,0,0,0
68,"FC = 0.98, SFT = 0.1",24/08/2016 15:00,26/08/2016 21:00,113574.1336,55,2064.984248,0.98,0.1,storm_69,3.9,1,0,1,0,1
69,"FC = 0.98, SFT = 0.1",2/09/2016 3:00,6/09/2016 2:00,1738713.369,96,18111.5976,0.98,0.1,storm_70,61.734,1,1,1,1,1
70,"FC = 0.98, SFT = 0.1",10/09/2016 3:00,11/09/2016 2:00,26903.07044,24,1120.961269,0.98,0.1,storm_71,1.483,1,0,0,0,1
71,"FC = 0.98, SFT = 0.1",18/09/2016 14:00,20/09/2016 9:00,132968.4587,44,3022.010424,0.98,0.1,storm_72,4.158,1,0,1,0,1
72,"FC = 0.98, SFT = 0.1",21/09/2016 14:00,22/09/2016 22:00,36537.77168,33,1107.205202,0.98,0.1,storm_73,1.186,1,0,0,0,1
73,"FC = 0.98, SFT = 0.1",29/09/2016 12:00,30/09/2016 8:00,19888.30638,21,947.0622086,0.98,0.1,storm_74,0.93,1,0,0,0,0
74,"FC = 0.98, SFT = 0.1",5/10/2016 0:00,5/10/2016 13:00,13199.1829,14,942.7987785,0.98,0.1,storm_75,0.945,1,0,0,0,0
75,"FC = 0.98, SFT = 0.1",17/10/2016 11:00,18/10/2016 2:00,14338.00894,16,896.125559,0.98,0.1,storm_76,0.775,1,0,0,0,0
76,"FC = 0.98, SFT = 0.1",21/10/2016 23:00,23/10/2016 3:00,35772.71058,29,1233.541744,0.98,0.1,storm_77,1.544,1,0,0,0,1
77,"FC = 0.98, SFT = 0.1",30/10/2016 21:00,31/10/2016 13:00,13417.50117,17,789.2647745,0.98,0.1,storm_78,0.587,1,0,0,0,0
78,"FC = 0.98, SFT = 0.1",12/11/2016 4:00,13/11/2016 14:00,81667.16298,35,2333.347514,0.98,0.1,storm_79,4.12,1,0,1,0,1
79,"FC = 0.98, SFT = 0.1",19/11/2016 21:00,20/11/2016 10:00,17776.41577,14,1269.743984,0.98,0.1,storm_80,1.496,1,0,0,0,1
80,"FC = 0.98, SFT = 0.1",16/12/2016 8:00,17/12/2016 18:00,150627.6332,35,4303.646664,0.98,0.1,storm_81,7.736,1,0,1,0,1
81,"FC = 0.98, SFT = 0.1",24/12/2016 15:00,25/12/2016 18:00,165785.913,28,5920.925466,0.98,0.1,storm_82,17.734,1,1,1,0,1
82,"FC = 0.98, SFT = 0.1",9/01/2017 19:00,10/01/2017 17:00,43538.95039,23,1892.997843,0.98,0.1,storm_83,2.002,1,0,1,0,1
83,"FC = 0.98, SFT = 0.1",20/01/2017 14:00,21/01/2017 10:00,25922.99801,21,1234.428477,0.98,0.1,storm_84,1.057,1,0,0,0,1
84,"FC = 0.98, SFT = 0.1",24/02/2017 14:00,25/02/2017 12:00,58611.31552,23,2548.318066,0.98,0.1,storm_85,5.84,1,0,1,0,1
85,"FC = 0.98, SFT = 0.1",28/02/2017 14:00,1/03/2017 6:00,8816.605998,17,518.6238822,0.98,0.1,storm_86,0.303,0,0,0,0,0
86,"FC = 0.98, SFT = 0.1",3/03/2017 16:00,5/03/2017 4:00,34982.28083,37,945.4670495,0.98,0.1,storm_87,1.12,1,0,0,0,1
87,"FC = 0.98, SFT = 0.1",14/03/2017 16:00,15/03/2017 14:00,25092.40646,23,1090.974194,0.98,0.1,storm_88,1.152,1,0,0,0,1
88,"FC = 0.98, SFT = 0.1",15/03/2017 19:00,17/03/2017 5:00,28365.35526,35,810.4387217,0.98,0.1,storm_89,0.87,1,0,0,0,0
89,"FC = 0.98, SFT = 0.1",18/03/2017 5:00,21/03/2017 1:00,249159.3817,69,3611.005532,0.98,0.1,storm_90,3.518,1,0,1,0,1
90,"FC = 0.98, SFT = 0.1",21/03/2017 16:00,27/03/2017 2:00,568232.4856,131,4337.652562,0.98,0.1,storm_91,17.616,1,1,1,0,1
91,"FC = 0.98, SFT = 0.1",30/03/2017 10:00,1/04/2017 22:00,121971.944,61,1999.540065,0.98,0.1,storm_92,2.08,1,0,1,0,1
92,"FC = 0.98, SFT = 0.1",3/04/2017 13:00,5/04/2017 11:00,34651.35081,47,737.2627831,0.98,0.1,storm_93,0.905,1,0,0,0,0
93,"FC = 0.98, SFT = 0.1",9/04/2017 19:00,10/04/2017 8:00,18001.73013,14,1285.837866,0.98,0.1,storm_94,1.388,1,0,0,0,1
94,"FC = 0.98, SFT = 0.1",5/05/2017 15:00,7/05/2017 2:00,55367.54546,36,1537.987374,0.98,0.1,storm_95,0.886,1,0,0,0,0
95,"FC = 0.98, SFT = 0.1",19/05/2017 23:00,21/05/2017 6:00,58553.07043,32,1829.783451,0.98,0.1,storm_96,2.427,1,0,1,0,1
96,"FC = 0.98, SFT = 0.1",7/06/2017 17:00,9/06/2017 1:00,34823.48368,33,1055.257081,0.98,0.1,storm_97,0.927,1,0,0,0,0
97,"FC = 0.98, SFT = 0.1",10/06/2017 2:00,11/06/2017 23:00,93354.8052,46,2029.452287,0.98,0.1,storm_98,2.177,1,0,1,0,1
98,"FC = 0.98, SFT = 0.1",31/07/2017 17:00,1/08/2017 4:00,10580.52697,12,881.7105806,0.98,0.1,storm_99,0.685,1,0,0,0,0
99,"FC = 0.98, SFT = 0.1",3/08/2017 21:00,4/08/2017 15:00,24337.29482,19,1280.910254,0.98,0.1,storm_100,1.704,1,0,0,0,1
100,"FC = 0.98, SFT = 0.1",25/08/2017 0:00,25/08/2017 12:00,13212.13144,13,1016.317803,0.98,0.1,storm_101,0.835,1,0,0,0,0
101,"FC = 0.98, SFT = 0.1",20/10/2017 9:00,21/10/2017 18:00,119773.5359,34,3522.751057,0.98,0.1,storm_102,5.883,1,0,1,0,1
102,"FC = 0.98, SFT = 0.1",23/10/2017 4:00,23/10/2017 18:00,11263.16018,15,750.8773452,0.98,0.1,storm_103,0.719,1,0,0,0,0
103,"FC = 0.98, SFT = 0.1",26/10/2017 23:00,27/10/2017 11:00,11914.42684,13,916.4943721,0.98,0.1,storm_104,0.684,1,0,0,0,0
104,"FC = 0.98, SFT = 0.1",17/11/2017 17:00,18/11/2017 7:00,12998.3341,15,866.5556066,0.98,0.1,storm_105,0.845,1,0,0,0,0
105,"FC = 0.98, SFT = 0.1",18/11/2017 18:00,19/11/2017 20:00,28513.38969,27,1056.05147,0.98,0.1,storm_106,1.005,1,0,0,0,1
106,"FC = 0.98, SFT = 0.1",2/12/2017 16:00,3/12/2017 17:00,68212.92873,26,2623.574182,0.98,0.1,storm_107,4.06,1,0,1,0,1
107,"FC = 0.98, SFT = 0.1",5/12/2017 18:00,6/12/2017 19:00,61854.71217,26,2379.027391,0.98,0.1,storm_108,4.381,1,0,1,0,1
108,"FC = 0.98, SFT = 0.1",17/12/2017 16:00,18/12/2017 14:00,61467.8307,23,2672.514378,0.98,0.1,storm_109,5.5,1,0,1,0,1
109,"FC = 0.98, SFT = 0.1",22/12/2017 23:00,23/12/2017 11:00,9972.340218,13,767.1030937,0.98,0.1,storm_110,0.505,1,0,0,0,0
110,"FC = 0.98, SFT = 0.1",30/12/2017 6:00,30/12/2017 22:00,15367.02701,17,903.9427652,0.98,0.1,storm_111,0.788,1,0,0,0,0
111,"FC = 0.98, SFT = 0.1",9/01/2018 2:00,10/01/2018 9:00,86713.49786,32,2709.796808,0.98,0.1,storm_112,4.829,1,0,1,0,1
