"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh"
"35",0.34,0.143507060333761,0.104919324577861,0.0385877357559001,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"36",0.35,0.147727856225931,0.107232645403377,0.0404952108225536,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"37",0.36,0.1519486521181,0.111055861526357,0.040892790591743,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"38",0.37,0.15616944801027,0.114936270653029,0.0412331773572405,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"39",0.38,0.160390243902439,0.118816679779701,0.0415735641227381,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"40",0.39,0.164611039794608,0.122697088906373,0.0419139508882356,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"41",0.4,0.168831835686778,0.126577498033045,0.0422543376537332,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"42",0.41,0.173052631578947,0.130457907159717,0.0425947244192307,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"43",0.42,0.177273427471117,0.134338316286389,0.0429351111847282,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"44",0.43,0.181494223363286,0.138218725413061,0.0432754979502258,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"45",0.44,0.185715019255456,0.142099134539732,0.0436158847157233,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"46",0.45,0.189935815147625,0.145979543666404,0.0439562714812208,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"47",0.46,0.194156611039795,0.149859952793076,0.0442966582467183,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"48",0.47,0.198377406931964,0.153740361919748,0.0446370450122159,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"49",0.48,0.202598202824133,0.15762077104642,0.0449774317777134,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"50",0.49,0.206818998716303,0.161501180173092,0.0453178185432109,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"51",0.5,0.211039794608472,0.165381589299764,0.0456582053087085,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
