,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id
167,"FC = 0.98, SFT = 0.5",26/12/2020 18:00,27/12/2020 12:00,116613.1035,19,6137.531764,0.98,0.5,storm_18
168,"FC = 0.98, SFT = 0.5",29/12/2020 9:00,30/12/2020 7:00,123658.2059,23,5376.443734,0.98,0.5,storm_19
169,"FC = 0.99, SFT = 0.5",8/02/2020 14:00,11/02/2020 16:00,2193909.291,75,29252.12388,0.99,0.5,storm_1
170,"FC = 0.99, SFT = 0.5",17/02/2020 10:00,18/02/2020 17:00,424942.8208,32,13279.46315,0.99,0.5,storm_2
171,"FC = 0.99, SFT = 0.5",18/02/2020 21:00,20/02/2020 5:00,377344.635,33,11434.68591,0.99,0.5,storm_3
172,"FC = 0.99, SFT = 0.5",5/03/2020 11:00,7/03/2020 15:00,272303.9309,53,5137.810017,0.99,0.5,storm_4
173,"FC = 0.99, SFT = 0.5",16/03/2020 12:00,17/03/2020,45242.74251,13,3480.210962,0.99,0.5,storm_5
174,"FC = 0.99, SFT = 0.5",25/03/2020 14:00,27/03/2020 6:00,226718.2349,41,5529.713046,0.99,0.5,storm_6
175,"FC = 0.99, SFT = 0.5",3/04/2020 19:00,6/04/2020 20:00,385166.0655,74,5204.946832,0.99,0.5,storm_7
176,"FC = 0.99, SFT = 0.5",29/04/2020 22:00,1/05/2020 16:00,172425.346,43,4009.891768,0.99,0.5,storm_8
177,"FC = 0.99, SFT = 0.5",26/07/2020 17:00,31/07/2020 1:00,1174476.42,105,11185.48972,0.99,0.5,storm_9
178,"FC = 0.99, SFT = 0.5",7/08/2020 15:00,9/08/2020 5:00,172914.5129,39,4433.705458,0.99,0.5,storm_10
179,"FC = 0.99, SFT = 0.5",9/08/2020 18:00,12/08/2020 21:00,672392.0076,76,8847.263258,0.99,0.5,storm_11
180,"FC = 0.99, SFT = 0.5",13/08/2020 2:00,14/08/2020 4:00,115003.0894,27,4259.373682,0.99,0.5,storm_12
181,"FC = 0.99, SFT = 0.5",14/08/2020 19:00,16/08/2020 21:00,242627.4737,51,4757.401445,0.99,0.5,storm_13
182,"FC = 0.99, SFT = 0.5",22/08/2020 8:00,23/08/2020 8:00,54691.80311,25,2187.672124,0.99,0.5,storm_14
183,"FC = 0.99, SFT = 0.5",9/09/2020 14:00,10/09/2020 2:00,34902.00838,13,2684.769875,0.99,0.5,storm_15
184,"FC = 0.99, SFT = 0.5",24/10/2020 17:00,25/10/2020 9:00,51363.49667,17,3021.382157,0.99,0.5,storm_16
185,"FC = 0.99, SFT = 0.5",25/10/2020 17:00,27/10/2020 7:00,147865.5756,39,3791.425015,0.99,0.5,storm_17
186,"FC = 0.99, SFT = 0.5",5/11/2020 13:00,6/11/2020 7:00,69561.61647,19,3661.137709,0.99,0.5,storm_18
187,"FC = 0.99, SFT = 0.5",21/12/2020 22:00,22/12/2020 12:00,52012.01291,15,3467.467527,0.99,0.5,storm_19
188,"FC = 0.99, SFT = 0.5",26/12/2020 18:00,27/12/2020 13:00,120046.915,20,6002.345751,0.99,0.5,storm_20
189,"FC = 0.99, SFT = 0.5",29/12/2020 9:00,30/12/2020 7:00,129876.1132,23,5646.787531,0.99,0.5,storm_21
